,name,dosage_form,dose,atc_code,scope,dose_form,strength_size
152,asparaginase,powder for injection,10 000 iu in vial.,L01XX02,WHO,,
154,atazanavir,oral  solid,100 mg (as sulfate); 300 mg (as sulfate),J05AE08,WHO,,
155,atazanavir + ritonavir,oral  solid,300 mg (as sulfate) + 100 mg tablet (heat stable),J05AR23,WHO,,
156,atenolol,oral  solid,50 mg; 100 mg,C07AB03,WHO,,
159,atezolizumab,parenteral  general injections  iv,1.2 g per 20 mL concentrate solution for infusion,L01XC18,WHO,,
161,atoltivimab + maftivimab + odesivimab,parenteral  general injections  iv,241.7 mg + 241.7 mg + 241.7 mg in 14.5 mL vial,,WHO,,
162,atorvastatin,,,,WHO,,
164,atorvastatin + perindopril + amlodipine,oral  solid  tablet,20 mg + 5 mg + 5 mg; 20 mg + 10 mg + 10 mg; 40 mg + 5 mg + 5 mg; 40 mg + 10 mg + 10 mg,C10BX11,WHO,,
167,atracurium,parenteral  general injections  iv,10 mg per  mL (besylate),M03AC04,WHO,,
169,atropine,,,,WHO,,
173,axicabtagene ciloleucel,cell suspension for infusion,2 × 10*6 anti-cd19 car-positive viable t-cells per kg of body weight.,L01XL03,WHO,,
174,azacitidine,parenteral  general injections  iv,100 mg in vial powder for injection,L01BC07,WHO,,
175,azathioprine,parenteral  general injections  iv,50 mg in vial powder for injection (as sodium salt); 100 mg in vial powder for injection (as sodium salt),L04AX01,WHO,,
179,azithromycin,local  ophthalmological  solution (eye drops),1.5% eye drops,S01AA26,WHO,,
190,aztreonam,parenteral  general injections  unspecified,1 g in vial powder for injection; 2 g in vial powder for injection,J01DF01,WHO,,
191,barium sulfate,oral  liquid,aqueous suspension,V08BA01,WHO,,
192,beclometasone,,,,WHO,,
194,beclometasone + formoterol,,,,WHO,,
195,bedaquiline,oral  solid,100 mg tablet; 20 mg tablet,J04AK05,WHO,,
196,bendamustine,parenteral  general injections  unspecified,45 mg per 0.5 mL; 180 mg per 2 mL,L01AA09,WHO,,
198,benzathine benzylpenicillin,parenteral  general injections  im,1.2 million iu in vial (≈ 900 mg) powder for injection; 2.4 million iu in vial (≈ 1.8 g) powder for injection,J01CE08,WHO,,
201,benznidazole,oral  solid  tablet,100 mg (scored); 50 mg (scored); 12.5 mg,P01CA02,WHO,,
202,benzoic acid + salicylic acid,local  topical  cream,6% + 3%,,WHO,,
203,benzoyl peroxide,local  topical  cream,5%,D10AE01,WHO,,
204,benzyl benzoate,local  topical  lotion,25%,P03AX01,WHO,,
208,benzylpenicillin,parenteral  general injections  unspecified,600 mg in vial powder for injection (=1 million iu as sodium or potassium salt); 3 g in vial powder for injection (=5 million iu as sodium or potassium salt),J01CE01,WHO,,
215,beractant,respiratory  suspension,80 mg per  mL for intratracheal instillation; 25 mg per  mL for intratracheal instillation,R07AA02,WHO,,
216,betamethasone,local  topical  cream,0.1% (as valerate),D07AC01,WHO,,
220,bevacizumab,parenteral  locoregional injections  intravitreal,25 mg per  mL,S01LA08,WHO,,
221,bicalutamide,oral  solid,50 mg,L02BB03,WHO,,
222,binimetinib,,,,WHO,,
223,biperiden,parenteral  general injections  iv,5 mg per  mL in 1 mL ampoule (lactate),N04AA02,WHO,,
224,bisacodyl,,,,WHO,,
225,bisoprolol,oral  solid,1.25 mg; 5 mg,C07AB07,WHO,,
229,bleomycin,parenteral  general injections  unspecified,15000 iu in vial (as sulfate),L01DC01,WHO,,
234,bortezomib,parenteral  general injections  unspecified,3.5 mg in vial powder for injection,L01XG01,WHO,,
235,bromocriptine,oral  solid,2.5 mg; 5 mg,N04BC01,WHO,,
237,budesonide,respiratory  inhalation  aerosol,100 µg per  dose; 200 µg per  dose,R03BA02,WHO,,
239,budesonide + formoterol,respiratory  inhalation  powder,100 µg + 6 µg per dose; 200 µg + 6 µg per dose,R03AK07,WHO,,
240,budesonide + salmeterol,,,,WHO,,
241,bumetanide,,,,WHO,,
244,bupivacaine,parenteral  locoregional injections  spinal anaesthesia,0.5% in 4 mL ampoule (hydrochloride) + 7.5% glucose solution,N01BB01,WHO,,
245,buprenorphine,,,,WHO,,
246,bupropion,oral  solid,150 mg sustained-release (hydrochloride),N06AX12,WHO,,
247,c1 esterase inhibitor,parenteral  general injections  iv,500 iu in vial powder for injection,,WHO,,
248,cabergoline,oral  solid  tablet,0.5 mg; 1 mg,G02CB03,WHO,,
250,caffeine citrate,parenteral  general injections  iv,20 mg per  mL (equivalent to 10 mg caffeine base per mL),N06BC01,WHO,,
251,calamine,local  topical  lotion,,D02AB,WHO,,
252,calcipotriol,local  topical  cream,50 µg per  mL (0.005%),D05AX02,WHO,,
253,calcitriol,,,,WHO,,
256,calcium,oral  solid,500 mg (elemental calcium),A12AA20,WHO,,
257,calcium folinate (leucovorin calcium),oral  solid,15 mg tablet,V03AF03,WHO,,
264,calcium gluconate,parenteral  general injections  iv,100 mg per  mL in 10 mL ampoule,A12AA03,WHO,,
266,canagliflozin,,,,WHO,,
267,capecitabine,oral  solid  tablet,150 mg; 500 mg,L01BC06,WHO,,
271,capreomycin,parenteral  general injections  iv,1000 mg powder for injection (vial),J04AB30,WHO,,
272,captopril,oral  solid,25 mg,C09AA01,WHO,,
273,carbachol,,,,WHO,,
276,carbamazepine,oral  solid  tablet,100 mg (scored); 200 mg (scored); 400 mg,N03AF01,WHO,,
278,carbetocin,parenteral  general injections  iv,100 µg per  mL (heat stable),H01BB03,WHO,,
279,carbimazole,,,,WHO,,
280,carboplatin,parenteral  general injections  iv,50 mg per 5 mL; 150 mg per 15 mL; 450 mg per 45 mL; 600 mg per 60 mL,L01XA02,WHO,,
295,carmellose,,,,WHO,,
296,carvedilol,,,,WHO,,
300,caspofungin,,,,WHO,,
301,cefalexin,oral  liquid,125 mg per 5 mL (anhydrous) powder for oral liquid; 250 mg per 5 mL (anhydrous) powder for oral liquid,J01DB01,WHO,,
305,cefazolin,parenteral  general injections  unspecified,1 g in vial (as sodium salt) powder for injection,J01DB04,WHO,,
310,cefepime,parenteral  general injections  unspecified,500 mg in vial (as hydrochloride) powder for injection; 1 g in vial (as hydrochloride) powder for injection; 2 g in vial (as hydrochloride) powder for injection,J01DE01,WHO,,
311,cefiderocol,parenteral  general injections  iv,1 g in vial (as sulfate tosylate) powder for injection,J01DI04,WHO,,
313,cefixime,oral  liquid,100 mg per 5 mL powder for oral liquid,J01DD08,WHO,,
315,cefotaxime,parenteral  general injections  unspecified,250 mg in vial powder for injection (as sodium salt),J01DD01,WHO,,
331,ceftaroline,parenteral  general injections  iv,400 mg in vial (as fosamil) powder for injection; 600 mg in vial (as fosamil) powder for injection,J01DI02,WHO,,
332,ceftazidime,parenteral  general injections  unspecified,250 mg in vial (as pentahydrate) powder for injection; 1 g in vial (as pentahydrate) powder for injection,J01DD02,WHO,,
334,ceftazidime + avibactam,parenteral  general injections  iv,2 g in vial + 0.5 g in vial powder for injection,J01DD52,WHO,,
336,ceftolozane + tazobactam,parenteral  general injections  iv,1 g + 0.5 g powder for injection,J01DI54,WHO,,
337,ceftriaxone,parenteral  general injections  unspecified,250 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt),J01DD04,WHO,,
359,cefuroxime,parenteral  general injections  iv,250 mg in vial (as sodium salt) powder for injection; 750 mg in vial (as sodium salt) powder for injection; 1.5 g in vial (as sodium salt) powder for injection,J01DC02,WHO,,
360,cemiplimab,,,,WHO,,
361,certolizumab pegol,,,,WHO,,
365,cetirizine,,,,WHO,,
366,chlorambucil,oral  solid,2 mg tablet,L01AA02,WHO,,
368,chloramphenicol,parenteral  general injections  iv,1 g in vial powder for injection (sodium succinate),J01BA01,WHO,,
370,chlorhexidine,local  topical  solution,7.1% chlorhexidine digluconate (delivering 4% chlorhexidine),D08AC02,WHO,,
372,chlorine base compound,local  topical  powder,0.1% available chlorine for solution,V07AV,WHO,,
373,chloroquine,oral  liquid,50 mg per 5 mL syrup (as phosphate or sulfate),P01BA01,WHO,,
380,chlorothiazide,,,,WHO,,
382,chloroxylenol,local  topical  solution,4.8%,D08AE05,WHO,,
383,chlorpromazine,oral  liquid,25 mg per 5 mL (hydrochloride),,WHO,,
385,chlortalidone,,,,WHO,,
387,chlortetracycline,,,,WHO,,
391,cholera vaccine,all vaccines should comply with the who requirements for biological substances.,,J07AE01,WHO,,
392,ciclesonide,,,,WHO,,
393,ciclosporin,parenteral  general injections  iv,50 mg per  mL in 1 mL ampoule concentrate for injection,L04AD01,WHO,,
394,cimetidine,oral  solid,200 mg,A02BA01,WHO,,
396,ciprofloxacin,parenteral  general injections  iv,2 mg per  mL (as hyclate),J01MA02,WHO,,
408,cisplatin,parenteral  general injections  unspecified,10 mg in vial powder for injection; 50 mg in vial powder for injection,L01XA01,WHO,,
420,cladribine,parenteral  general injections  iv,1 mg per  mL in 10 mL vial; 2 mg per  mL in 5 mL vial,L01BB04,WHO,,
422,clarithromycin,oral  liquid,125 mg per 5 mL powder for oral liquid; 250 mg per 5 mL powder for oral liquid,J01FA09,WHO,,
427,clindamycin,oral  liquid,75 mg per 5 mL (as palmitate hydrochloride),J01FF01,WHO,,
431,clofazimine,oral  solid  dosage form,100 mg; 50 mg,J04BA01,WHO,,
433,clomifene,oral  solid,50 mg (citrate),G03GB02,WHO,,
434,clomipramine,oral  solid,10 mg (hydrochloride); 25 mg (hydrochloride),N06AA04,WHO,,
435,clonazepam,oral  solid,500 µg,N03AE01,WHO,,
436,clopidogrel,oral  solid,75 mg; 300 mg,B01AC04,WHO,,
438,clotrimazole,local  topical  other,1% vaginal cream; 10% vaginal cream; 100 mg vaginal tablet; 500 mg vaginal tablet,G01AF02,WHO,,
439,cloxacillin,oral  liquid,125 mg per 5 mL (as sodium salt) powder for oral liquid,J01CF02,WHO,,
444,clozapine,oral  solid,25 mg; 50 mg; 100 mg; 200 mg,N05AH02,WHO,,
445,coagulation factor IX complex,,,,WHO,,
447,"coagulation factor IX, plasma-derived",parenteral  general injections  iv,500 iu in vial powder for injection; 1000 iu in vial powder for injection,B02BD01,WHO,,
449,"coagulation factor VIII, plasma-derived",parenteral  general injections  iv,250 iu in vial powder for injection; 500 iu in vial powder for injection; 1000 iu in vial powder for injection,B02BD02,WHO,,
450,coal tar,local  topical  solution,5%,D05AA,WHO,,
451,cobicistat + elvitegravir + emtricitabine + tenofovir disoproxil fumarate,oral  solid,150 mg + 150 mg + 200 mg + 300 mg (tenofovir disoproxil fumarate equivalent to 245 mg tenofovir disoproxil),J05AR09,WHO,,
452,cobicistat + elvitegravir + emtricitabine+ tenofovir alafenamide,oral  solid,150 mg + 150 mg + 200 mg + 10 mg,J05AR18,WHO,,
453,cobimetinib,,,,WHO,,
454,codeine,oral  solid,30 mg tablet (codeine phosphate),,WHO,,
457,colchicine,oral  solid,0.5 mg,M04AC01,WHO,,
458,colecalciferol,oral  liquid,400 iu per  mL,A11CC05,WHO,,
462,colistin (injection),parenteral  general injections  unspecified,1 million iu in vial (as colistemethate sodium),J01XB01,WHO,,
466,compound sodium lactate solution,parenteral  general injections  iv,injectable solution,B05BB01,WHO,,
468,condoms,-,,,WHO,,
469,copper-containing intrauterine device,-,,G02BA02,WHO,,
470,crizotinib,oral  solid,200 mg; 250 mg,L01ED01,WHO,,
472,cryoprecipitate (not pathogen-reduced),,,,WHO,,
476,cryoprecipitate (pathogen-reduced),injection,frozen liquid in bag or lyophilized powder in vial containing:,B05AA02,WHO,,
480,cyanocobalamin,.,,B03BA01,WHO,,
481,cyclizine,oral  solid,50 mg tablet,R06AE03,WHO,,
482,cyclopentolate,,,,WHO,,
484,cyclophosphamide,oral  solid,25 mg tablet,L01AA01,WHO,,
501,cycloserine,oral  solid,250 mg; 125 mg,J04AB01,WHO,,
502,cytarabine,parenteral  general injections  unspecified,100 mg in vial powder for injection,L01BC01,WHO,,
510,dabigatran,oral  solid,110 mg; 150 mg,B01AE07,WHO,,
512,dabrafenib,oral  solid,50 mg; 75 mg,L01EC02,WHO,,
513,dacarbazine,parenteral  general injections  iv,100 mg in vial powder for injection; 200 mg in vial powder for injection,L01AX04,WHO,,
514,daclatasvir,oral  solid  tablet,30 mg (as hydrochloride); 60 mg (as hydrochloride),J05AP07,WHO,,
515,daclatasvir + sofosbuvir,oral  solid  tablet,60 mg + 400 mg,"J05AP07, J05AP08",WHO,,
516,dactinomycin,parenteral  general injections  iv,500 µg in vial powder for injection,L01DA01,WHO,,
521,dalteparin,,,,WHO,,
523,dapagliflozin,,,,WHO,,
524,dapsone,oral  solid,100 mg tablet; 50 mg tablet; 25 mg tablet,J04BA02,WHO,,
525,daptomycin,parenteral  general injections  iv,350 mg in vial powder for injection; 500 mg in vial powder for injection,J01XX09,WHO,,
526,daratumumab,parenteral  general injections  iv,100 mg per 5 mL; 400 mg per 20 mL,L01FC01,WHO,,
527,darbepoetin alfa,,,,WHO,,
528,darunavir,oral  solid,75 mg; 400 mg; 600 mg; 800 mg,J05AE10,WHO,,
529,dasabuvir,oral  solid,250 mg tablet,J05AX16,WHO,,
530,dasatinib,oral  solid,20 mg tablet; 50 mg tablet; 70 mg tablet; 80 mg tablet; 100 mg tablet; 140 mg tablet,L01EA02,WHO,,
531,daunorubicin,parenteral  general injections  iv,50 mg in vial (as hydrochloride) powder for injection; 20 mg in vial (as hydrochloride) powder for injection; 2 mg per  mL in vial (as hydrochloride); 5 mg per  mL in vial (as hydrochloride),L01DB02,WHO,,
534,deferasirox,oral  solid  dispersible tablet,100 mg; 125 mg; 250 mg; 400 mg; 500 mg,V03AC03,WHO,,
537,deferiprone,,,,WHO,,
539,deferoxamine,parenteral  general injections  unspecified,500 mg in vial powder for injection (mesilate),V03AC01,WHO,,
542,delafloxacin,parenteral  general injections  iv,300 mg lyophilized powder for injection,J01MA23,WHO,,
543,delamanid,oral  solid  dispersible tablet,25 mg,J04AK06,WHO,,
544,dengue vaccine,all vaccines should comply with the who requirements for biological substances.,,J07BX04,WHO,,
545,desmopressin,parenteral  general injections  iv,4 µg per  mL in 1 mL ampoule (acetate),H01BA02,WHO,,
547,dexamethasone,parenteral  general injections  unspecified,4 mg per  mL (dexamethasone phosphate (as sodium)),H02AB02,WHO,,
556,dextran 40,.,,B05AA05,WHO,,
557,dextran 70,parenteral  general injections  iv,6% injectable solution,B05AA05,WHO,,
558,diaphragms,-,,,WHO,,
559,diazepam,oral  solid,5 mg (scored); 2 mg (scored),N05BA01,WHO,,
563,diazoxide,oral  liquid,50 mg per  mL,V03AH01,WHO,,
564,didanosine,oral  liquid,100 mg buffered powder for oral solution; 167 mg buffered powder for oral solution; 250 mg buffered powder for oral solution,J05AF02,WHO,,
565,diethylcarbamazine,oral  solid,50 mg tablet (dihydrogen citrate); 100 mg tablet (dihydrogen citrate),P02CB02,WHO,,
566,digitoxin,parenteral  general injections  iv,0.2 mg in 1 mL ampoule,C01AA04,WHO,,
567,digoxin,parenteral  general injections  iv,250 µg per  mL in 2 mL ampoule,C01AA05,WHO,,
569,dihydroartemisinin + piperaquine,oral  solid,40 mg + 320 mg tablet; 20 mg + 160 mg tablet,P01BF05,WHO,,
571,dihydroergocryptine mesylate,oral  solid,,N04BC03,WHO,,
572,diloxanide,oral  solid,500 mg (furoate),P01AC01,WHO,,
573,dimercaprol,parenteral  general injections  im,50 mg per  mL in 2 mL ampoule,V03AB09,WHO,,
574,dinoprostone (prostaglandin E2),parenteral  general injections  iv,1 mg per  mL,G02AD02,WHO,,
576,diphtheria antitoxin,parenteral  general injections  im,10000 iu in vial; 20000 iu in vial,J06AA01,WHO,,
577,diphtheria vaccine,all vaccines should comply with the who requirements for biological substances.,,J07AF01,WHO,,
578,diphtheria-pertussis-tetanus vaccine,all vaccines should comply with the who requirements for biological substances.,,J07AJ52,WHO,,
579,diphtheria-tetanus vaccine,all vaccines should comply with the who requirements for biological substances.,,J07AM51,WHO,,
580,docetaxel,parenteral  general injections  iv,20 mg per  mL; 40 mg per  mL,L01CD02,WHO,,
584,docusate sodium,oral  liquid,50 mg per 5 mL oral liquid,A06AA02,WHO,,
585,dolasetron,,,,WHO,,
587,dolutegravir,oral  solid,"50 mg tablet; 10 mg tablet (dispersible, scored)",J05AJ03,WHO,,
588,dolutegravir + lamivudine + tenofovir,oral  solid,50 mg + 300 mg + 300 mg (tenofovir disoproxil fumarate equivalent to 245 mg tenofovir disoproxil),J05AR27,WHO,,
589,donepezil,oral  liquid,1 mg per  mL (hydrochloride),N06DA02,WHO,,
590,dopamine,parenteral  general injections  iv,40 mg per  mL in 5 mL vial (hydrochloride),C01CA04,WHO,,
592,doxorubicin,parenteral  general injections  iv,10 mg in vial (hydrochloride); 50 mg in vial (hydrochloride),L01DB01,WHO,,
608,doxorubicin (as pegylated liposomal),parenteral  general injections  iv,2 mg per  mL in 10 mL vial (hydrochloride); 2 mg per  mL in 25 mL vial (hydrochloride),L01DB01,WHO,,
609,doxycycline,oral  liquid,25 mg per 5 mL (anhydrous); 50 mg per 5 mL (anhydrous),J01AA02,WHO,,
617,durvalumab,parenteral  general injections  iv,120 mg per 2.4 mL in vial; 500 mg per 10 mL in vial,L01FF03,WHO,,
618,edoxaban,,,,WHO,,
620,efavirenz,oral  solid,600 mg tablet,J05AG03,WHO,,
621,efavirenz + emtricitabine + tenofovir,oral  solid,600 mg + 200 mg + 300 mg (tenofovir disoproxil fumarate equivalent to 245 mg tenofovir disoproxil),J05AR06,WHO,,
622,efavirenz + lamivudine + tenofovir,oral  solid,"400 mg + 300 mg + 300 mg (tenofovir disoproxil fumarate, equivalent to 245 mg tenofovir disoproxil)",J05AR11,WHO,,
624,eflornithine,parenteral  general injections  iv,200 mg per  mL in 50 mL bottle (hydrochloride),P01CX03,WHO,,
625,elbasvir + grazoprevir,oral  solid,50 mg + 100 mg,J05AP54,WHO,,
626,empagliflozin,oral  solid,10 mg; 25 mg,A10BK03,WHO,,
627,emtricitabine,oral  liquid,10 mg per  mL,J05AF09,WHO,,
628,emtricitabine + rilpivirine + tenofovir alafenamide,oral  solid,200 mg + 25 mg + 25 mg,J05AR19,WHO,,
629,emtricitabine + rilpivirine + tenofovir disoproxil fumarate,oral  solid,200 mg + 25 mg + 300 mg (tenofovir disoproxil fumarate equivalent to 245 mg tenofovir disoproxil),J05AR08,WHO,,
630,emtricitabine + tenofovir,oral  solid,200 mg + 300 mg (tenofovir disoproxil fumarate equivalent to 245 mg tenofovir disoproxil),J05AR03,WHO,,
632,emtricitabine + tenofovir alafenamide,oral  solid,200 mg + 10 mg; 200 mg + 25 mg,J05AR17,WHO,,
633,enalapril,oral  liquid,1 mg per  mL (as hydrogen maleate),C09AA02,WHO,,
635,encorafenib,,,,WHO,,
636,enoxaparin,parenteral  general injections  sc,20 mg per 0.2 mL in prefilled syringe; 40 mg per 0.4 mL in prefilled syringe; 60 mg per 0.6 mL in prefilled syringe; 80 mg per 0.8 mL in prefilled syringe; 100 mg per 1 mL in prefilled syringe; 120 mg per 0.8 mL in prefilled syringe; 150 mg per 1 mL in prefilled syringe; 150 mg per 1 mL in ampoule; 20 mg per 0.2 mL in ampoule; 40 mg per 0.4 mL in ampoule; 60 mg per 0.6 mL in ampoule; 80 mg per 0.8 mL in ampoule; 100 mg per 1 mL in ampoule; 120 mg per 0.8 mL in ampoule,B01AB05,WHO,,
638,entecavir,oral  liquid,0.05 mg per  mL,J05AF10,WHO,,
639,enzalutamide,,,,WHO,,
641,ephedrine,parenteral  locoregional injections  spinal anaesthesia,30 mg per  mL in 1 mL ampoule (ephedrine hydrochloride),C01CA26,WHO,,
642,epinephrine,parenteral  general injections  iv,100 µg per  mL in 10 mL ampoule (as acid tartrate or hydrochloride),C01CA24,WHO,,
647,epoetin alfa,,,,WHO,,
648,epoetin beta,,,,WHO,,
649,epoetin theta,,,,WHO,,
650,equine rabies immunoglobulin,parenteral  locoregional injections  intradermal,150 iu per  mL in vial; 200 iu per  mL in vial; 300 iu per  mL in vial; 400 iu per  mL in vial,J06BB05,WHO,,
651,eravacycline,parenteral  general injections  iv,50 mg lyophilized powder for injection,J01AA13,WHO,,
652,ergocalciferol,,,,WHO,,
656,ergometrine,parenteral  general injections  unspecified,200 µg in 1 mL ampoule (hydrogen maleate),G02AB03,WHO,,
657,erlotinib,oral  solid,100 mg; 150 mg,L01EB02,WHO,,
658,erythromycin,parenteral  general injections  iv,500 mg in vial powder for injection (as lactobionate),J01FA09,WHO,,
662,erythropoiesis-stimulating agents,parenteral  general injections  unspecified,1000 iu per 0.5 mL pre-filled syringe; 2000 iu per 0.5 mL pre-filled syringe; 3000 iu per 0.3 mL pre-filled syringe; 4000 iu per 0.4 mL pre-filled syringe; 5000 iu per 0.5 mL pre-filled syringe; 6000 iu per 0.6 mL pre-filled syringe; 8000 iu per 0.8 mL pre-filled syringe; 10000 iu per 1 mL pre-filled syringe; 20000 iu per 0.5 mL pre-filled syringe; 40000 iu per 1 mL pre-filled syringe,"B03XA03, B03XA01, B03XA02",WHO,,
663,estradiol,oral  solid  tablet,0.5 mg; 1 mg; 2 mg,G03CA03,WHO,,
