innovation,eml,scope,disease,eml_date,nra,nra_date,gra,gra_date,gra_body,dose,form,alternative_names,category,technology,target_population,indication,archetype,phase_1_status,phase_1_date,phase_2_status,phase_2_date,phase_3_status,phase_3_date,phase_4_status,phase_4_date,trial_status,trial_status_notes,date_trial_status,manufacturer,dalys,disease_prevalence,improvement,dalys_averted,deaths_averted,yll,hs_costs,dalys_monetized,prob_success,procurement,reg_approval,policy_readiness,social_context,guidelines,policy_implemented,date_market,country_supply,distribution,delivery_model,efficacy,data_source,readiness,financing,impact_potential,introduction_readiness,date_proof_of_concept,date_first_regulatory,date_first_launch,proj_date_first_regulatory,proj_date_first_launch,proj_date_lmic_20_uptake
3D power doppler (3DPD),NA,South Africa,MNCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diagnostic,NA,pregnancy,Intrauterine growth restriction (IUGR),NA,NA,NA,NA,NA,NA,NA,NA,NA,Approved / Marketed,NA,NA,NA,45000000,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3D power doppler (3DPD),NA,WHO,MNCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diagnostic,NA,pregnancy,Intrauterine growth restriction (IUGR),NA,NA,NA,NA,NA,NA,NA,NA,NA,Approved / Marketed,NA,NA,NA,45000000,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABBOTT Prism HIV O Plus assay,NA,Kenya,HIV,NA,No,NA,NA,NA,NA,NA,NA,Abbott Prism HIV,Diagnostic,Chemiluminescent immunoassay (ChLIA) ,all ages HIV,"To screen for or to aid in or to confirm the diagnosis of HIV infection: adults, adolescents, children and infants >  18 months of age",Diagnostics — Assay development,NA,NA,NA,NA,Completed,12/28/11,NA,NA,Phase 3,NA,12/28/11,NA,33000000,40800000,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Impact Global Health :https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,NA,12/28/11,NA,NA,8/10/14,12/5/14,12/6/19
ABBOTT Prism HIV O Plus assay,NA,Senegal,HIV,NA,No,NA,NA,NA,NA,NA,NA,Abbott Prism HIV,Diagnostic,Chemiluminescent immunoassay (ChLIA) ,all ages HIV,"To screen for or to aid in or to confirm the diagnosis of HIV infection: adults, adolescents, children and infants >  18 months of age",Diagnostics — Assay development,NA,NA,NA,NA,Completed,12/28/11,NA,NA,Phase 3,NA,12/28/11,NA,33000000,40800000,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Impact Global Health :https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,NA,12/28/11,NA,NA,8/10/14,12/5/14,12/6/19
ABBOTT Prism HIV O Plus assay,NA,South Africa,HIV,NA,NA,NA,NA,NA,NA,NA,NA,Abbott Prism HIV,Diagnostic,Chemiluminescent immunoassay (ChLIA) ,all ages HIV,"To screen for or to aid in or to confirm the diagnosis of HIV infection: adults, adolescents, children and infants >  18 months of age",Diagnostics — Assay development,NA,NA,NA,NA,Completed,12/28/11,NA,NA,Phase 3,NA,12/28/11,NA,33000000,40800000,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Impact Global Health :https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,NA,12/28/11,NA,NA,8/10/14,12/5/14,12/6/19
ABBOTT Prism HIV O Plus assay,NA,WHO,HIV,NA,NA,NA,NA,NA,NA,NA,NA,Abbott Prism HIV,Diagnostic,Chemiluminescent immunoassay (ChLIA) ,all ages HIV,"To screen for or to aid in or to confirm the diagnosis of HIV infection: adults, adolescents, children and infants >  18 months of age",Diagnostics — Assay development,NA,NA,NA,NA,Completed,12/28/11,NA,NA,Phase 3,NA,12/28/11,NA,33000000,40800000,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Impact Global Health :https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,NA,12/28/11,NA,NA,8/10/14,12/5/14,12/6/19
ABON HIV 1/2/O,NA,Kenya,HIV,NA,No,NA,Yes,NA,WHO PQ,NA,NA,NA,Diagnostic,Immunochromatographic lateral-flow rapid diagnostic test (RDT),all ages HIV,"To screen for or to aid in the diagnosis of HIV infection: adults, adolescents, children and infants > 18 months of age",Diagnostics — Assay development,NA,NA,NA,NA,NA,NA,Completed,NA,Phase 4,NA,NA,NA,33000000,40800000,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Impact Global Health :https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABON HIV 1/2/O,NA,Senegal,HIV,NA,No,NA,Yes,NA,WHO PQ,NA,NA,NA,Diagnostic,Immunochromatographic lateral-flow rapid diagnostic test (RDT),all ages HIV,"To screen for or to aid in the diagnosis of HIV infection: adults, adolescents, children and infants > 18 months of age",Diagnostics — Assay development,NA,NA,NA,NA,NA,NA,Completed,NA,Phase 4,NA,NA,NA,33000000,40800000,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Impact Global Health :https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABON HIV 1/2/O,NA,South Africa,HIV,NA,NA,NA,Yes,NA,WHO PQ,NA,NA,NA,Diagnostic,Immunochromatographic lateral-flow rapid diagnostic test (RDT),all ages HIV,"To screen for or to aid in the diagnosis of HIV infection: adults, adolescents, children and infants > 18 months of age",Diagnostics — Assay development,NA,NA,NA,NA,NA,NA,Completed,NA,Phase 4,NA,NA,NA,33000000,40800000,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Impact Global Health :https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABON HIV 1/2/O,NA,WHO,HIV,NA,NA,NA,Yes,NA,WHO PQ,NA,NA,NA,Diagnostic,Immunochromatographic lateral-flow rapid diagnostic test (RDT),all ages HIV,"To screen for or to aid in the diagnosis of HIV infection: adults, adolescents, children and infants > 18 months of age",Diagnostics — Assay development,NA,NA,NA,NA,NA,NA,Completed,NA,Phase 4,NA,NA,NA,33000000,40800000,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Impact Global Health :https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADVIA Centaur HIV 1/O/2 Rapid Test,NA,Kenya,HIV,NA,No,NA,NA,NA,NA,NA,NA,NA,Diagnostic,in vitro diagnostic immunoassay,all ages HIV,Diagnosis of infection with HIV-1 and HIV-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Approved / Marketed,NA,NA,Advy Chemical Pvt. Ltd,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Impact Global Health :https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADVIA Centaur HIV 1/O/2 Rapid Test,NA,Senegal,HIV,NA,No,NA,NA,NA,NA,NA,NA,NA,Diagnostic,in vitro diagnostic immunoassay,all ages HIV,Diagnosis of infection with HIV-1 and HIV-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Approved / Marketed,NA,NA,Advy Chemical Pvt. Ltd,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Impact Global Health :https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADVIA Centaur HIV 1/O/2 Rapid Test,NA,South Africa,HIV,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diagnostic,in vitro diagnostic immunoassay,all ages HIV,Diagnosis of infection with HIV-1 and HIV-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Approved / Marketed,NA,NA,Advy Chemical Pvt. Ltd,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Impact Global Health :https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADVIA Centaur HIV 1/O/2 Rapid Test,NA,WHO,HIV,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diagnostic,in vitro diagnostic immunoassay,all ages HIV,Diagnosis of infection with HIV-1 and HIV-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Approved / Marketed,NA,NA,Advy Chemical Pvt. Ltd,20000000,210000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Impact Global Health :https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADVIA Centaur HIV Ag/Ab Combo (CHIV) Assay,NA,Kenya,HIV,NA,No,NA,NA,NA,NA,NA,NA,NA,Diagnostic,in vitro diagnostic immunoassay,all ages HIV,Diagnosis of infection with HIV-1 and HIV-2,Diagnostics — Assay development,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33000000,40800000,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://boditech.co.kr/en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADVIA Centaur HIV Ag/Ab Combo (CHIV) Assay,NA,Senegal,HIV,NA,No,NA,NA,NA,NA,NA,NA,NA,Diagnostic,in vitro diagnostic immunoassay,all ages HIV,Diagnosis of infection with HIV-1 and HIV-2,Diagnostics — Assay development,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33000000,40800000,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://boditech.co.kr/en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADVIA Centaur HIV Ag/Ab Combo (CHIV) Assay,NA,South Africa,HIV,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diagnostic,in vitro diagnostic immunoassay,all ages HIV,Diagnosis of infection with HIV-1 and HIV-2,Diagnostics — Assay development,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33000000,40800000,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://boditech.co.kr/en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADVIA Centaur HIV Ag/Ab Combo (CHIV) Assay,NA,WHO,HIV,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diagnostic,in vitro diagnostic immunoassay,all ages HIV,Diagnosis of infection with HIV-1 and HIV-2,Diagnostics — Assay development,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33000000,40800000,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://boditech.co.kr/en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEC/BC02,NA,Kenya,Tuberculosis,NA,No,NA,NA,NA,NA,NA,NA,NA,Vaccine,lyophilized recombinant tuberculosis vaccine,all age TB,Prevention of mycobacterium tuberculosis,Diagnostics — Assay development,NA,NA,Suspended,11/28/23,NA,NA,NA,NA,Phase 2,NA,11/28/23,NA,33000000,40800000,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://sctimst.ac.in

https://www.impactglobalhealth.org/data/infectious-disease",NA,NA,NA,NA,11/28/23,NA,NA,7/11/26,11/5/26,11/6/31
AEC/BC02,NA,Senegal,Tuberculosis,NA,No,NA,NA,NA,NA,NA,NA,NA,Vaccine,lyophilized recombinant tuberculosis vaccine,all age TB,Prevention of mycobacterium tuberculosis,Diagnostics — Assay development,NA,NA,Suspended,11/28/23,NA,NA,NA,NA,Phase 2,NA,11/28/23,NA,33000000,40800000,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://sctimst.ac.in

https://www.impactglobalhealth.org/data/infectious-disease",NA,NA,NA,NA,11/28/23,NA,NA,7/11/26,11/5/26,11/6/31
AEC/BC02,NA,South Africa,Tuberculosis,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaccine,lyophilized recombinant tuberculosis vaccine,all age TB,Prevention of mycobacterium tuberculosis,Diagnostics — Assay development,NA,NA,Suspended,11/28/23,NA,NA,NA,NA,Phase 2,NA,11/28/23,NA,33000000,40800000,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://sctimst.ac.in

https://www.impactglobalhealth.org/data/infectious-disease",NA,NA,NA,NA,11/28/23,NA,NA,7/11/26,11/5/26,11/6/31
AEC/BC02,NA,WHO,Tuberculosis,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaccine,lyophilized recombinant tuberculosis vaccine,all age TB,Prevention of mycobacterium tuberculosis,Diagnostics — Assay development,NA,NA,Suspended,11/28/23,NA,NA,NA,NA,Phase 2,NA,11/28/23,NA,33000000,40800000,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://sctimst.ac.in

https://www.impactglobalhealth.org/data/infectious-disease",NA,NA,NA,NA,11/28/23,NA,NA,7/11/26,11/5/26,11/6/31
AFIAS IGRA-TB,NA,Kenya,Tuberculosis,NA,No,NA,NA,NA,NA,NA,NA,NA,Diagnostic,Interferon-gamma release assay (IGRA),all age TB,Diagnosis of mycobacterium tuberculosis,NA,NA,NA,Completed,NA,NA,NA,NA,NA,Phase 2,NA,NA,NA,28000000,9000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Impact Global Health :https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFIAS IGRA-TB,NA,Senegal,Tuberculosis,NA,No,NA,NA,NA,NA,NA,NA,NA,Diagnostic,Interferon-gamma release assay (IGRA),all age TB,Diagnosis of mycobacterium tuberculosis,NA,NA,NA,Completed,NA,NA,NA,NA,NA,Phase 2,NA,NA,NA,28000000,9000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Impact Global Health :https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFIAS IGRA-TB,NA,South Africa,Tuberculosis,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diagnostic,Interferon-gamma release assay (IGRA),all age TB,Diagnosis of mycobacterium tuberculosis,NA,NA,NA,Completed,NA,NA,NA,NA,NA,Phase 2,NA,NA,NA,28000000,9000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Impact Global Health :https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFIAS IGRA-TB,NA,WHO,Tuberculosis,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diagnostic,Interferon-gamma release assay (IGRA),all age TB,Diagnosis of mycobacterium tuberculosis,NA,NA,NA,Completed,NA,NA,NA,NA,NA,Phase 2,NA,NA,NA,28000000,9000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Impact Global Health :https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AG Chitra TB LAMP kit,NA,Kenya,Tuberculosis,NA,No,NA,NA,NA,NA,NA,NA,NA,Diagnostic,Loop-mediated isothermal amplification (LAMP,adult TB,Detection of active Mycobacterium Tuberculosis in clinical samples,NA,NA,NA,NA,NA,NA,NA,NA,NA,Approved / Marketed,NA,NA,Boditech Med Inc.,28000000,9000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://leidebio.com

https://www.impactglobalhealth.org/data/infectious-disease",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AG Chitra TB LAMP kit,NA,Senegal,Tuberculosis,NA,No,NA,NA,NA,NA,NA,NA,NA,Diagnostic,Loop-mediated isothermal amplification (LAMP,adult TB,Detection of active Mycobacterium Tuberculosis in clinical samples,NA,NA,NA,NA,NA,NA,NA,NA,NA,Approved / Marketed,NA,NA,Boditech Med Inc.,28000000,9000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://leidebio.com

https://www.impactglobalhealth.org/data/infectious-disease",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AG Chitra TB LAMP kit,NA,South Africa,Tuberculosis,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diagnostic,Loop-mediated isothermal amplification (LAMP,adult TB,Detection of active Mycobacterium Tuberculosis in clinical samples,NA,NA,NA,NA,NA,NA,NA,NA,NA,Approved / Marketed,NA,NA,Boditech Med Inc.,28000000,9000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://leidebio.com

https://www.impactglobalhealth.org/data/infectious-disease",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AG Chitra TB LAMP kit,NA,WHO,Tuberculosis,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diagnostic,Loop-mediated isothermal amplification (LAMP,adult TB,Detection of active Mycobacterium Tuberculosis in clinical samples,NA,NA,NA,NA,NA,NA,NA,NA,NA,Approved / Marketed,NA,NA,Boditech Med Inc.,28000000,9000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://leidebio.com

https://www.impactglobalhealth.org/data/infectious-disease",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AIMTB,NA,Kenya,HIV,NA,No,NA,NA,NA,NA,NA,NA,NA,Diagnostic,Interferon-gamma release immunoassay (IGRA) ,all ages HIV,Rapid detection of mycobacterium tuberculosis,Diagnostics — Assay development,NA,NA,NA,NA,NA,NA,NA,NA,Approved / Marketed,NA,12/25/19,NA,33000000,40800000,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/25/19,12/25/19,12/25/19,12/25/19,12/25/19,12/24/24
AIMTB,NA,Senegal,HIV,NA,No,NA,NA,NA,NA,NA,NA,NA,Diagnostic,Interferon-gamma release immunoassay (IGRA) ,all ages HIV,Rapid detection of mycobacterium tuberculosis,Diagnostics — Assay development,NA,NA,NA,NA,NA,NA,NA,NA,Approved / Marketed,NA,12/25/19,NA,33000000,40800000,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/25/19,12/25/19,12/25/19,12/25/19,12/25/19,12/24/24
AIMTB,NA,South Africa,HIV,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diagnostic,Interferon-gamma release immunoassay (IGRA) ,all ages HIV,Rapid detection of mycobacterium tuberculosis,Diagnostics — Assay development,NA,NA,NA,NA,NA,NA,NA,NA,Approved / Marketed,NA,12/25/19,NA,33000000,40800000,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/25/19,12/25/19,12/25/19,12/25/19,12/25/19,12/24/24
AIMTB,NA,WHO,HIV,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diagnostic,Interferon-gamma release immunoassay (IGRA) ,all ages HIV,Rapid detection of mycobacterium tuberculosis,Diagnostics — Assay development,NA,NA,NA,NA,NA,NA,NA,NA,Approved / Marketed,NA,12/25/19,NA,33000000,40800000,NA,NA,NA,NA,8.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/25/19,12/25/19,12/25/19,12/25/19,12/25/19,12/24/24
APTIMA HIV-1 Quant Assay,NA,Kenya,HIV,NA,No,NA,Yes,11/5/20,US_FDA,NA,NA,NA,Diagnostic,In vitro nucleic acid amplification test (NAAT),all ages HIV,Diagnosis of infection with HIV-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Approved / Marketed,NA,11/5/20,"Hologic, Inc.",45000000,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,NA,11/5/20,11/5/20,11/5/20,11/5/20,11/5/20,11/5/25
APTIMA HIV-1 Quant Assay,NA,Senegal,HIV,NA,No,NA,Yes,11/5/20,US_FDA,NA,NA,NA,Diagnostic,In vitro nucleic acid amplification test (NAAT),all ages HIV,Diagnosis of infection with HIV-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Approved / Marketed,NA,11/5/20,"Hologic, Inc.",45000000,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease,NA,NA,NA,NA,11/5/20,11/5/20,11/5/20,11/5/20,11/5/20,11/5/25
