Innovation,Alternative Names,Category,Disease,Indication,Stage,trial_completion_date,TargetPop,is_on_fda,dates_fda,records_fda,time_to_regulatory_approval,time_approval_to_first_launch,time_launch_to_20lmic,time_to_market,expected_date_of_regulatory_approval,expected_date_of_first_launch,expected_date_of_market,Readiness,LeadOrg,Impact Score,Country,Impact Potential,Disease Burden,Epidemiological impact,Alignment with goals,Cost-effectiveness,Budget Impact,Resource optimization,Introduction Readiness,Financing,Policy,Uptake/Delivery,Probability of technical and regulatory success,Procurement model,Regulatory approvals,Policy readiness,Social context,Guidelines and training,Policy implemented,Advance launch and planning/timeline,Demand forecasting and generation,Potential supply chain,Delivery model,source_file
Zidovudine,AltName B,Drug,hiv,hiv,Phase 3,2013-09-28,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Occupational injury and non-occupational exposure with documented human immunodeficiency virus (HIV) exposure, or potential for HIV exposure
* Indication for HIV postexposure pr...",Yes,2014-05-03,FDA-84709,2.62,0.32,5.0,7.94,2016-05-11,2016-09-05,2021-09-06,13,AstraZeneca,49,South Africa,52.83333333333334,47,22,56,16,99,77,45,1,3,1,True,False,False,True,False,True,True,False,False,True,False,HorizonScan_hiv_20251201_Harmonized.xlsx
NRTIs,Product Alpha,Drug,hiv,hiv,Phase 3,2013-09-28,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Occupational injury and non-occupational exposure with documented human immunodeficiency virus (HIV) exposure, or potential for HIV exposure
* Indication for HIV postexposure pr...",Yes,2014-05-10,FDA-14093,2.62,0.32,5.0,7.94,2016-05-11,2016-09-05,2021-09-06,54,Novartis,46,South Africa,66.33333333333333,62,76,33,57,97,73,55,1,1,4,True,False,False,False,False,False,True,True,True,True,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Efavirenz,AltName A,Drug,hiv,hiv,Phase 3,2013-09-28,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Occupational injury and non-occupational exposure with documented human immunodeficiency virus (HIV) exposure, or potential for HIV exposure
* Indication for HIV postexposure pr...",Yes,2014-05-25,FDA-58281,2.62,0.32,5.0,7.94,2016-05-11,2016-09-05,2021-09-06,76,Sanofi,58,South Africa,65.66666666666667,73,98,38,98,67,20,27,0,2,1,False,False,False,False,False,True,True,False,True,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Lopinavir 400 mg/ritonavir 100 mg,GenName Y,Drug,hiv,hiv,Phase 4,2011-01-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

1. HIV-1 infection
2. The absence of exclusionary resistance mutations on a genotypic resistance assay
3. Antiretroviral (ARV) drug-naïve
4. Screening HIV-1 RNA \>1000 copies/mL
5...",Yes,2011-11-28,FDA-95893,0.56,0.15,3.5,4.21,2011-07-24,2011-09-17,2015-03-18,82,AstraZeneca,80,South Africa,48.83333333333334,29,78,31,40,22,93,55,2,2,2,True,True,True,True,False,False,False,False,True,False,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Efavirenz,Product Alpha,Drug,hiv,hiv,Phase 4,2011-01-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

1. HIV-1 infection
2. The absence of exclusionary resistance mutations on a genotypic resistance assay
3. Antiretroviral (ARV) drug-naïve
4. Screening HIV-1 RNA \>1000 copies/mL
5...",Yes,2011-10-28,FDA-53313,0.56,0.15,3.5,4.21,2011-07-24,2011-09-17,2015-03-18,74,Novartis,48,Overall,49.5,24,5,44,89,57,78,55,1,2,3,False,True,False,False,False,True,True,True,True,True,False,HorizonScan_hiv_20251201_Harmonized.xlsx
ZDV+3TC+LPV/r,GenName Y,Drug,hiv,hiv,Phase 4,2017-09-29,"Sex: ALL; Age: >6 Months; Criteria: Inclusion Criteria:

* Documentation of HIV-1 infection defined as positive results from two samples collected at different time points, using protocol-specified tests
* Meets WHO classification for s...",Yes,2018-02-11,FDA-46812,0.56,0.15,3.5,4.21,2018-04-21,2018-06-15,2021-12-14,18,Gilead,18,Kenya,62.0,85,55,94,26,96,16,45,2,2,1,True,True,False,True,True,False,False,True,False,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Extended-Release Naltrexone,GenName Y,Drug,hiv,hiv,Phase 2,2016-07-01,"Sex: ALL; Age: >18 Years; Healthy Volunteers: Yes; Criteria: Inclusion Criteria:

1. Meets DSM-IV criteria for opioid dependence
2. Age \> 18 years
3. Confirmed HIV infection, either through positive HIV antibody or detectable HIV-1 RNA level.
4. Within the Con...",Yes,2016-10-20,FDA-66091,4.41,0.98,21.0,26.39,2020-11-27,2021-11-20,2042-11-20,27,AstraZeneca,29,Senegal,43.16666666666666,32,47,20,97,21,42,64,1,5,1,True,False,True,True,True,True,True,True,False,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
darunavir with ritonavir and fixed-dose viread+emtricitabine daily,Comp Beta,Drug,hiv,hiv,Phase 4,2016-12-01,"Sex: ALL; Age: >21 Years; Healthy Volunteers: Yes; Criteria: Inclusion Criteria:

* Willing to sign consent form
* Naïve to ART (remote ART use \>5 years will be considered on a case by case basis)
* No known GI or cardiovascular disease
* Between the ages of 1...",Yes,2017-05-31,FDA-39535,0.56,0.15,3.5,4.21,2017-06-23,2017-08-17,2021-02-15,97,Gilead,91,Senegal,33.83333333333334,34,28,54,55,6,26,45,2,2,1,True,True,False,True,True,False,False,False,True,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
50 mg/m2 aldoxorubicin,TradeName X,Drug,hiv,hiv,Phase 2,2016-04-25,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

1. Age ≥18 years of age; male or female.
2. HIV (confirmed by ELISA and western blot) with histologically confirmed KS.
3. Willing to undergo serial tumor biopsies.
4. Capable of ...",No,2017-01-17,FDA-89665,4.41,0.98,21.0,26.39,2020-09-21,2021-09-14,2042-09-14,17,J&J,76,Overall,52.66666666666666,36,82,0,98,64,36,45,1,3,1,False,True,True,True,True,False,False,False,True,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
100 mg/m2 aldoxorubicin,AltName A,Drug,hiv,hiv,Phase 2,2016-04-25,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

1. Age ≥18 years of age; male or female.
2. HIV (confirmed by ELISA and western blot) with histologically confirmed KS.
3. Willing to undergo serial tumor biopsies.
4. Capable of ...",Yes,2016-12-09,FDA-23987,4.41,0.98,21.0,26.39,2020-09-21,2021-09-14,2042-09-14,99,GSK,47,Senegal,45.0,24,55,99,13,52,27,73,1,4,3,True,False,False,True,True,True,True,False,True,True,True,HorizonScan_hiv_20251201_Harmonized.xlsx
150 mg/m2 aldoxorubicin,AltName B,Drug,hiv,hiv,Phase 2,2016-04-25,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

1. Age ≥18 years of age; male or female.
2. HIV (confirmed by ELISA and western blot) with histologically confirmed KS.
3. Willing to undergo serial tumor biopsies.
4. Capable of ...",No,2016-12-02,FDA-66818,4.41,0.98,21.0,26.39,2020-09-21,2021-09-14,2042-09-14,8,Bayer,8,Overall,30.33333333333333,67,48,43,12,9,3,45,1,3,1,True,False,False,True,True,True,False,False,True,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
lopinavir/ritonavir (LPV/r),Comp Beta,Drug,hiv,hiv,Phase 3,2010-10-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Participants must provide written, voluntary informed consent to participate in the study.
* Participants must be naive to antiretroviral treatment with HIV RNA greater than or ...",No,2011-09-23,FDA-57488,2.62,0.32,5.0,7.94,2013-05-14,2013-09-08,2018-09-09,42,GSK,87,Senegal,45.83333333333334,71,8,22,34,91,49,55,2,3,1,True,True,False,True,False,True,True,False,True,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
emtricitabine/tenofovir disoproxil fumarate (FTC/TDF),TradeName X,Drug,hiv,hiv,Phase 3,2010-10-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Participants must provide written, voluntary informed consent to participate in the study.
* Participants must be naive to antiretroviral treatment with HIV RNA greater than or ...",Yes,2010-11-30,FDA-73757,2.62,0.32,5.0,7.94,2013-05-14,2013-09-08,2018-09-09,26,Bayer,39,Senegal,44.33333333333334,15,48,31,37,97,38,45,1,2,2,False,True,True,False,False,False,True,False,False,True,True,HorizonScan_hiv_20251201_Harmonized.xlsx
raltegravir (RAL),TradeName X,Drug,hiv,hiv,Phase 3,2010-10-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Participants must provide written, voluntary informed consent to participate in the study.
* Participants must be naive to antiretroviral treatment with HIV RNA greater than or ...",No,2011-04-04,FDA-38559,2.62,0.32,5.0,7.94,2013-05-14,2013-09-08,2018-09-09,81,Merck,99,Kenya,22.16666666666667,3,38,49,8,28,7,55,2,3,1,True,True,False,True,True,False,True,False,True,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Recommendation and Counseling for Alcohol Pharmacotherapy,AltName A,Drug,hiv,hiv,Phase 4,2023-11-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* At least 18 years or older;
* Receiving HIV care at the UAB, UW or UCSD clinics and not anticipating changing clinics over the next 12 months;
* AUDIT-C score \> 3 women or \> 4...",No,2024-06-22,FDA-68427,0.56,0.15,3.5,4.21,2024-05-23,2024-07-17,2028-01-16,85,Sanofi,52,Senegal,47.5,8,69,42,70,34,62,82,1,5,3,True,False,True,True,True,True,True,True,True,False,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Quadrivalent Live Attenuated Influenza Vaccine,AltName A,Biological,hiv,hiv,Phase 2,2016-12-01,"Sex: ALL; Age: >2 Years; Healthy Volunteers: Yes; Criteria: Inclusion Criteria:

* Age 2-25
* Only supposed to get one dose of vaccine for upcoming influenza season
* No viral respiratory symptoms at time of immunization
* HIV-infected group: must have:

  * H...",No,2017-08-03,FDA-52837,4.41,0.98,21.0,26.39,2021-04-29,2022-04-22,2043-04-22,23,Merck,81,Senegal,52.66666666666666,26,64,87,79,38,22,45,1,2,2,False,True,False,False,False,True,True,True,True,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Pegylated Interferon Alpha 2b (PEGINTRON),AltName B,Drug,hiv,hiv,Phase 2,2017-05-31,"Sex: ALL; Age: >18 Years; Criteria: * INCLUSION CRITERIA:

To be eligible for study participation, a volunteer must satisfy all of the following inclusion criteria:

1. Age greater than or equal to 18 years.
2. Documentation of human im...",Yes,2018-04-04,FDA-55851,4.41,0.98,21.0,26.39,2021-10-27,2022-10-20,2043-10-20,25,Pfizer,75,Senegal,43.0,41,22,57,37,37,64,45,1,2,2,True,False,True,True,False,False,False,False,True,False,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Telmisartan,AltName A,Drug,hiv,hiv,Phase 2,2011-06-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* HIV positive men and women 18 years and older
* HIV-1 infection as documented by ELISA and confirmed by Western blot or plasma HIV-1 RNA \>2000 on two occasions
* Documented cen...",No,2012-05-01,FDA-90412,4.41,0.98,21.0,26.39,2015-10-28,2016-10-20,2037-10-20,28,Merck,60,South Africa,42.16666666666666,27,63,39,22,65,37,27,0,2,1,False,False,True,False,False,False,True,False,False,True,False,HorizonScan_hiv_20251201_Harmonized.xlsx
extended-release exenatide,AltName A,Drug,hiv,hiv,Phase 4,2014-12-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Age ≥ 18 years
* Body mass index ≥ 25 kg/m2
* Glycosylated hemoglobin (A1C) value ≥ 6.5% OR having a fasting blood glucose ≥ 126 mg/dL
* On stable antiretroviral therapy for ≥ 1...",No,2015-03-27,FDA-70146,0.56,0.15,3.5,4.21,2015-06-23,2015-08-17,2019-02-15,38,Bayer,66,Kenya,22.66666666666667,50,13,16,27,14,16,27,1,1,1,False,True,True,False,False,False,False,False,True,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Truvada (fixed dose combination of tenofovir + emtricitabine) + Stocrin (efavirenz),AltName A,Drug,hiv,hiv,Phase 4,2011-11-01,"Sex: ALL; Age: >16 Years; Criteria: Inclusion Criteria:

* HIV-1 positive by licensed diagnostic test with presumed duration of infection \> 6 months from date of randomisation.
* Aged \> 16 years of age (or minimum age as determined by...",Yes,2012-05-22,FDA-46542,0.56,0.15,3.5,4.21,2012-05-23,2012-07-17,2016-01-16,1,Sanofi,37,Senegal,29.83333333333333,60,19,26,9,37,28,36,1,2,1,False,True,True,True,False,False,False,False,False,True,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Truvada (fixed dose combination of tenofovir + emtricitabine)+ ritonavir/atazanavir (r/ATV),GenName Y,Drug,hiv,hiv,Phase 4,2011-11-01,"Sex: ALL; Age: >16 Years; Criteria: Inclusion Criteria:

* HIV-1 positive by licensed diagnostic test with presumed duration of infection \> 6 months from date of randomisation.
* Aged \> 16 years of age (or minimum age as determined by...",Yes,2012-10-04,FDA-19985,0.56,0.15,3.5,4.21,2012-05-23,2012-07-17,2016-01-16,87,Sanofi,1,Overall,43.16666666666666,38,28,61,26,55,51,64,2,2,3,True,True,True,True,False,False,False,True,True,True,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Truvada (fixed dose combination of tenofovir + emtricitabine) + zidovudine (ZDV) + abacavir (ABC),AltName B,Drug,hiv,hiv,Phase 4,2011-11-01,"Sex: ALL; Age: >16 Years; Criteria: Inclusion Criteria:

* HIV-1 positive by licensed diagnostic test with presumed duration of infection \> 6 months from date of randomisation.
* Aged \> 16 years of age (or minimum age as determined by...",Yes,2012-02-22,FDA-59103,0.56,0.15,3.5,4.21,2012-05-23,2012-07-17,2016-01-16,51,Sanofi,37,Senegal,67.5,75,89,100,50,20,71,64,1,5,1,True,False,True,True,True,True,True,False,False,False,True,HorizonScan_hiv_20251201_Harmonized.xlsx
ALVAC-HIV vCP1521 + AIDSVAX,AltName A,Biological,hiv,hiv,Phase 3,2009-06-01,"Sex: ALL; Age: >18 Years; Healthy Volunteers: Yes; Criteria: Inclusion Criteria:

* Possession of the 13-digit Thai National ID card
* 18-30 years of age (inclusive), male or female
* For women, a negative urine pregnancy test on the day of enrollment, as well ...",Yes,2009-09-29,FDA-31266,2.62,0.32,5.0,7.94,2012-01-13,2012-05-09,2017-05-10,52,Gilead,63,South Africa,42.83333333333334,32,76,48,50,4,47,45,1,3,1,True,False,False,False,True,True,True,False,True,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
BIC/F/TAF 50Mg-200Mg-25Mg Tablet,Comp Beta,Drug,hiv,hiv,Phase 4,2024-08-28,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* At least 18 years old on day of signing informed consent
* Positive for human immunodeficiency virus (HIV)
* Received a previous renal transplant
* Must have controlled HIV infe...",Yes,2025-05-27,FDA-85887,0.56,0.15,3.5,4.21,2025-03-20,2025-05-14,2028-11-12,30,Bayer,24,South Africa,63.16666666666666,44,82,94,39,82,38,27,0,2,1,False,False,False,True,False,False,True,False,False,True,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Cabotegravir Injectable Suspension,TradeName X,Drug,hiv,hiv,Phase 3,2022-08-23,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

Sub-study specific Inclusion Criteria:

* Capable of giving sub-study specific informed consent.
* Eligible participants must have been on CAB LA + RPV LA regimen for a minimum of...",No,2022-10-07,FDA-67309,2.62,0.32,5.0,7.94,2025-04-05,2025-07-31,2030-08-01,34,Novartis,85,Overall,41.33333333333334,77,45,7,85,1,33,55,2,2,2,True,True,True,False,False,True,False,True,True,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Rilpivirine Injectable Suspension,AltName A,Drug,hiv,hiv,Phase 3,2022-08-23,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

Sub-study specific Inclusion Criteria:

* Capable of giving sub-study specific informed consent.
* Eligible participants must have been on CAB LA + RPV LA regimen for a minimum of...",No,2023-03-18,FDA-98208,2.62,0.32,5.0,7.94,2025-04-05,2025-07-31,2030-08-01,75,Sanofi,58,Senegal,33.83333333333334,17,77,38,4,49,18,82,2,3,4,True,True,True,True,False,False,True,True,True,True,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Ixazomib 1 MG,AltName A,Drug,hiv,hiv,Phase 2,2019-08-19,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* The following laboratory values obtained \<=14 days prior to registration.
* ANC ≥ LLN (lower limit of normal) and ≤ULN (upper limit of normal), Hgb ≥ LLN and ≤ULN, PLT ≥ LLN an...",No,2020-05-10,FDA-44162,4.41,0.98,21.0,26.39,2024-01-15,2025-01-07,2046-01-07,27,Merck,30,Kenya,45.33333333333334,43,60,82,26,30,31,55,1,3,2,True,False,True,False,False,True,True,True,False,False,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Ixazomib 2 MG,AltName B,Drug,hiv,hiv,Phase 2,2019-08-19,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* The following laboratory values obtained \<=14 days prior to registration.
* ANC ≥ LLN (lower limit of normal) and ≤ULN (upper limit of normal), Hgb ≥ LLN and ≤ULN, PLT ≥ LLN an...",No,2019-12-29,FDA-62859,4.41,0.98,21.0,26.39,2024-01-15,2025-01-07,2046-01-07,77,Gilead,8,South Africa,53.5,51,65,78,71,37,19,64,2,1,4,True,True,True,False,False,False,False,True,True,True,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Ixazomib 3 MG,Molecule Z,Drug,hiv,hiv,Phase 2,2019-08-19,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* The following laboratory values obtained \<=14 days prior to registration.
* ANC ≥ LLN (lower limit of normal) and ≤ULN (upper limit of normal), Hgb ≥ LLN and ≤ULN, PLT ≥ LLN an...",No,2019-11-30,FDA-35210,4.41,0.98,21.0,26.39,2024-01-15,2025-01-07,2046-01-07,40,Novartis,82,South Africa,54.0,58,94,63,35,56,18,45,1,3,1,True,False,False,False,True,True,True,False,False,True,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Ixazomib 4 MG,Comp Beta,Drug,hiv,hiv,Phase 2,2019-08-19,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* The following laboratory values obtained \<=14 days prior to registration.
* ANC ≥ LLN (lower limit of normal) and ≤ULN (upper limit of normal), Hgb ≥ LLN and ≤ULN, PLT ≥ LLN an...",No,2020-04-13,FDA-46086,4.41,0.98,21.0,26.39,2024-01-15,2025-01-07,2046-01-07,65,Novartis,80,South Africa,54.16666666666666,66,63,51,90,42,13,27,1,0,2,False,True,False,False,False,False,False,True,False,True,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Crofelemer,Comp Beta,Drug,hiv,hiv,Phase 3,2012-10-31,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Male or female ≥ 18 years old
* History of HIV-1 infection
* On an antiretroviral therapeutic regimen for treatment of HIV-1 disease and associated conditions (including prophyl...",No,2013-06-11,FDA-27512,2.62,0.32,5.0,7.94,2015-06-14,2015-10-09,2020-10-09,77,Novartis,17,Senegal,41.83333333333334,55,22,20,83,58,13,45,0,2,3,False,False,False,False,True,True,False,False,True,True,True,HorizonScan_hiv_20251201_Harmonized.xlsx
M72/AS01E Mycobacterium tuberculosis vaccine,Molecule Z,Biological,hiv,hiv,Phase 2,2022-08-12,"Sex: ALL; Age: >16 Years; Criteria: Inclusion Criteria:

* Participant with documented human immunodeficiency virus (HIV) infection who fulfill all of the following:

  * Has reactive anti-HIV antibody at screening
  * On antiretroviral...",No,2023-07-26,FDA-46456,4.41,0.98,21.0,26.39,2027-01-08,2028-01-01,2048-12-31,42,GSK,38,South Africa,57.83333333333334,51,91,39,34,71,61,73,0,4,4,False,False,True,False,True,True,True,True,True,True,True,HorizonScan_hiv_20251201_Harmonized.xlsx
PENNVAX-GP,AltName A,Biological,hiv,hiv,Phase 2,2021-05-17,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

1. Willing and able to provide written informed consent
2. Male or female, age ≥ 18 and ≤ 65 years
3. HIV-1 infection, documented by any licensed rapid HIV test or HIV enzyme or c...",No,2021-10-09,FDA-23198,4.41,0.98,21.0,26.39,2025-10-13,2026-10-06,2047-10-06,16,Bayer,60,Senegal,39.66666666666666,27,52,48,43,50,18,55,1,2,3,False,True,False,True,False,True,False,True,False,True,True,HorizonScan_hiv_20251201_Harmonized.xlsx
INO-6145,AltName B,Biological,hiv,hiv,Phase 2,2021-05-17,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

1. Willing and able to provide written informed consent
2. Male or female, age ≥ 18 and ≤ 65 years
3. HIV-1 infection, documented by any licensed rapid HIV test or HIV enzyme or c...",No,2021-07-22,FDA-15317,4.41,0.98,21.0,26.39,2025-10-13,2026-10-06,2047-10-06,92,GSK,36,Overall,62.16666666666666,95,74,64,80,17,43,45,2,3,0,True,True,False,True,True,True,False,False,False,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
