Innovation,Alternative Names,Category,Disease,Indication,Stage,trial_completion_date,TargetPop,is_on_fda,dates_fda,records_fda,time_to_regulatory_approval,time_approval_to_first_launch,time_launch_to_20lmic,time_to_market,expected_date_of_regulatory_approval,expected_date_of_first_launch,expected_date_of_market,Readiness,LeadOrg,Impact Score,Country,Impact Potential,Disease Burden,Epidemiological impact,Alignment with goals,Cost-effectiveness,Budget Impact,Resource optimization,Introduction Readiness,Financing,Policy,Uptake/Delivery,Probability of technical and regulatory success,Procurement model,Regulatory approvals,Policy readiness,Social context,Guidelines and training,Policy implemented,Advance launch and planning/timeline,Demand forecasting and generation,Potential supply chain,Delivery model
primaquine,Comp Beta,Drug,Malaria,Malaria,Phase 4,2018-10-21,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Previous G6PD test at Shoklo Malaria Research Unit (SMRU) clinic with one of following results: 1) G6PD homozygous wildtype females (G6PD genotype normal) 2) G6PD heterozygous f...",No,2019-06-04,FDA-33807,0.56,0.15,3.5,4.21,2019-05-13,2019-07-07,2023-01-05,56,GSK,84,South Africa,45.16666667,21,40,38,27,99,46,64,1,4,2,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
chloroquine + primaquine,AltName B,Drug,Malaria,Malaria,Phase 4,2018-10-21,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Previous G6PD test at Shoklo Malaria Research Unit (SMRU) clinic with one of following results: 1) G6PD homozygous wildtype females (G6PD genotype normal) 2) G6PD heterozygous f...",No,2018-12-10,FDA-77404,0.56,0.15,3.5,4.21,2019-05-13,2019-07-07,2023-01-05,39,Gilead,9,Overall,59.66666667,12,38,95,77,77,59,55,1,2,3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
Sulfadoxine/Pyrimethanine-Amodiaquine (SP-AQ),TradeName X,Drug,Malaria,Malaria,Phase 4,2020-12-16,"Sex: ALL; Age: >1 Year; Criteria: Inclusion Criteria:

* Age greater than 12 months and less than 10 years at enrollment;
* Current attendance at or willingness to attend the study SCA clinic at HBCH;
* Residence in either Homa Bay Co...",Yes,2021-11-22,FDA-73983,0.56,0.15,3.5,4.21,2021-07-08,2021-09-01,2025-03-02,37,Gilead,8,South Africa,74.83333333,61,72,70,82,70,94,36,1,1,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
Dihydroartemisinin-Piperaquine (DP),Product Alpha,Drug,Malaria,Malaria,Phase 4,2020-12-16,"Sex: ALL; Age: >1 Year; Criteria: Inclusion Criteria:

* Age greater than 12 months and less than 10 years at enrollment;
* Current attendance at or willingness to attend the study SCA clinic at HBCH;
* Residence in either Homa Bay Co...",Yes,2021-05-22,FDA-97530,0.56,0.15,3.5,4.21,2021-07-08,2021-09-01,2025-03-02,45,Novartis,21,Kenya,70.83333333,28,91,75,94,85,52,45,1,2,2,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
Dihydroartemisinin-piperaquine,Molecule Z,Drug,Malaria,Malaria,Phase 4,2022-04-11,"Sex: ALL; Age: >3 Years; Criteria: Inclusion Criteria:

All participants:

* Agreement to come to clinic for all follow-up PK and safety evaluations
* Provision of informed consent.

HIV-infected participants:

* Residency within 30km ...",No,2022-09-05,FDA-31303,0.56,0.15,3.5,4.21,2022-11-01,2022-12-26,2026-06-26,62,Novartis,72,Overall,56.5,31,64,28,94,78,44,55,1,5,0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"RTS,S/AS01",Comp Beta,Biological,Malaria,Malaria,Phase 3,2022-03-31,"Sex: ALL; Age: >3 Years; Criteria: Inclusion Criteria:

* The child had been enrolled in the initial phase of the trial of seasonal vaccination with the RTS,S/AS01 vaccine
* A parent or legally recognised guardian provides informed con...",No,2023-01-20,FDA-19051,2.62,0.32,5,7.94,2024-11-11,2025-03-08,2030-03-09,80,Novartis,91,South Africa,44.5,30,50,30,48,89,20,64,1,3,3,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
SMC placebo,Molecule Z,Drug,Malaria,Malaria,Phase 3,2022-03-31,"Sex: ALL; Age: >3 Years; Criteria: Inclusion Criteria:

* The child had been enrolled in the initial phase of the trial of seasonal vaccination with the RTS,S/AS01 vaccine
* A parent or legally recognised guardian provides informed con...",Yes,2022-11-27,FDA-72531,2.62,0.32,5,7.94,2024-11-11,2025-03-08,2030-03-09,49,Sanofi,68,Kenya,39.33333333,50,63,11,84,14,14,55,1,4,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
SMC with SP+AQ,Comp Beta,Drug,Malaria,Malaria,Phase 3,2022-03-31,"Sex: ALL; Age: >3 Years; Criteria: Inclusion Criteria:

* The child had been enrolled in the initial phase of the trial of seasonal vaccination with the RTS,S/AS01 vaccine
* A parent or legally recognised guardian provides informed con...",No,2022-11-26,FDA-16866,2.62,0.32,5,7.94,2024-11-11,2025-03-08,2030-03-09,30,Bayer,70,Kenya,51,62,83,25,40,63,33,82,2,4,3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Artefenomel 800mg: piperaquine 640mg,GenName Y,Drug,Malaria,Malaria,Phase 3,2015-11-01,"Sex: ALL; Age: >6 Months; Criteria: Inclusion Criteria:

1. Male or female patient age \>6 months \<70 years.
2. Body weight \>5 kg \<90 kg.
3. Presence of mono-infection of P. falciparum with:

   1. Fever, as defined by axillary tempe...",No,2016-01-13,FDA-98292,2.62,0.32,5,7.94,2018-06-14,2018-10-09,2023-10-10,45,AstraZeneca,90,South Africa,59,25,57,81,40,67,84,73,2,3,3,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
Artefenomel 800mg: piperaquine 960mg,Comp Beta,Drug,Malaria,Malaria,Phase 3,2015-11-01,"Sex: ALL; Age: >6 Months; Criteria: Inclusion Criteria:

1. Male or female patient age \>6 months \<70 years.
2. Body weight \>5 kg \<90 kg.
3. Presence of mono-infection of P. falciparum with:

   1. Fever, as defined by axillary tempe...",No,2016-07-18,FDA-40516,2.62,0.32,5,7.94,2018-06-14,2018-10-09,2023-10-10,38,AstraZeneca,13,Overall,55.5,86,34,26,66,65,56,45,2,2,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Coartem¨ (artemether lumefantrine),Molecule Z,Drug,Malaria,Malaria,Phase 3,2008-05-01,"Sex: ALL; Age: >3 Years; Criteria: Inclusion Criteria:

* Male or female patients between the age of 3 and 60 years, inclusive.
* Body weight between 20 kg and 90 kg with no clinical evidence of severe malnutrition.
* Presence of acute...",No,2008-08-04,FDA-94396,2.62,0.32,5,7.94,2010-12-13,2011-04-09,2016-04-09,3,Sanofi,2,South Africa,45,20,81,49,15,92,13,27,0,2,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Artefenomel 800mg: piperaquine 1440mg,Comp Beta,Drug,Malaria,Malaria,Phase 3,2015-11-01,"Sex: ALL; Age: >6 Months; Criteria: Inclusion Criteria:

1. Male or female patient age \>6 months \<70 years.
2. Body weight \>5 kg \<90 kg.
3. Presence of mono-infection of P. falciparum with:

   1. Fever, as defined by axillary tempe...",Yes,2016-01-05,FDA-82200,2.62,0.32,5,7.94,2018-06-14,2018-10-09,2023-10-10,19,Bayer,70,Kenya,48.5,34,90,25,12,76,54,45,1,2,2,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
Tetanus/diphtheria toxoids,AltName A,Biological,Malaria,Malaria,Phase 3,2022-03-31,"Sex: ALL; Age: >3 Years; Criteria: Inclusion Criteria:

* The child had been enrolled in the initial phase of the trial of seasonal vaccination with the RTS,S/AS01 vaccine
* A parent or legally recognised guardian provides informed con...",Yes,2022-06-02,FDA-31754,2.62,0.32,5,7.94,2024-11-11,2025-03-08,2030-03-09,73,GSK,39,Overall,34.83333333,73,0,69,41,14,12,55,1,3,2,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
arthemeter lumefantrine,AltName A,Drug,Malaria,Malaria,Phase 3,2008-11-01,"Sex: ALL; Criteria: Inclusion Criteria:

1. Male or female patients ²12 years of age.
2. Body weight ³ 5 kg and \< 25 kg with no clinical evidence of severe malnutrition (defined as a child whose weight-for-height is bel...",No,2009-07-01,FDA-81667,2.62,0.32,5,7.94,2011-06-15,2011-10-10,2016-10-10,94,Sanofi,10,Senegal,43.33333333,30,75,29,41,5,80,45,1,3,1,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Pyronaridine artesunate,Molecule Z,Drug,Malaria,Malaria,Phase 3,2008-05-01,"Sex: ALL; Age: >3 Years; Criteria: Inclusion Criteria:

* Male or female patients between the age of 3 and 60 years, inclusive.
* Body weight between 20 kg and 90 kg with no clinical evidence of severe malnutrition.
* Presence of acute...",No,2008-11-13,FDA-33795,2.62,0.32,5,7.94,2010-12-13,2011-04-09,2016-04-09,38,AstraZeneca,64,Overall,65,88,23,73,94,13,99,55,1,2,3,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
RABIPUR¨,GenName Y,Biological,Malaria,Malaria,Phase 3,2020-03-31,"Sex: ALL; Age: >5 Months; Criteria: Inclusion Criteria:

* The child is a permanent resident of the study area and likely to remain a resident for the duration of the trial
* The child is 5 - 17 months of age at the time of first vaccin...",No,2020-05-14,FDA-43229,2.62,0.32,5,7.94,2022-11-12,2023-03-09,2028-03-09,85,Sanofi,47,Overall,60.33333333,28,92,70,88,69,15,55,1,3,2,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Dihydroartemisinin-piperaquine (DP),Comp Beta,Drug,Malaria,Malaria,Phase 3,2024-07-28,"Sex: FEMALE; Age: >16 Years; Criteria: Inclusion Criteria:

1. Viable singleton pregnancy confirmed by ultrasound
2. Estimated gestational age between 12-20 weeks
3. Confirmed to be HIV- uninfected by rapid test
4. 16 years of age or older...",Yes,2025-04-15,FDA-79227,2.62,0.32,5,7.94,2027-03-11,2027-07-06,2032-07-06,14,Gilead,86,South Africa,47.66666667,51,50,59,29,35,62,64,2,3,2,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
Sulfadoxine-pyrimethamine (SP),Comp Beta,Drug,Malaria,Malaria,Phase 3,2024-07-28,"Sex: FEMALE; Age: >16 Years; Criteria: Inclusion Criteria:

1. Viable singleton pregnancy confirmed by ultrasound
2. Estimated gestational age between 12-20 weeks
3. Confirmed to be HIV- uninfected by rapid test
4. 16 years of age or older...",Yes,2025-07-17,FDA-14894,2.62,0.32,5,7.94,2027-03-11,2027-07-06,2032-07-06,64,GSK,37,Kenya,53,94,38,23,83,0,80,36,0,2,2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Matched-Placebo for Tafenoquine,Molecule Z,Drug,Malaria,Malaria,Phase 3,2019-08-19,"Sex: MALE; Age: >18 Years; Criteria: Inclusion Criteria:

* Male subjects \>=18 years at the time of signing the informed consent.
* The subject has a positive Giemsa smear for P. vivax (mixed infection with P.falciparum is acceptable).
...",No,2019-10-09,FDA-26481,2.62,0.32,5,7.94,2022-04-01,2022-07-27,2027-07-28,77,GSK,95,South Africa,51.33333333,11,93,22,71,64,47,55,1,1,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
pyronaridine artesunate,GenName Y,Drug,Malaria,Malaria,Phase 3,2008-11-01,"Sex: ALL; Criteria: Inclusion Criteria:

1. Male or female patients ²12 years of age.
2. Body weight ³ 5 kg and \< 25 kg with no clinical evidence of severe malnutrition (defined as a child whose weight-for-height is bel...",Yes,2009-03-28,FDA-25523,2.62,0.32,5,7.94,2011-06-15,2011-10-10,2016-10-10,51,GSK,62,South Africa,45.33333333,44,10,77,100,38,3,45,2,2,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Quinine,Product Alpha,Drug,Malaria,Malaria,Phase 3,2012-09-01,"Sex: ALL; Criteria: Inclusion Criteria:

1. The patient's legally acceptable representative has provided informed consent and the patient has assented (where relevant) to participation in the trial
2. The patient is a ch...",Yes,2013-02-09,FDA-88396,2.62,0.32,5,7.94,2015-04-15,2015-08-10,2020-08-10,6,Sanofi,100,Overall,53.16666667,62,64,15,2,87,89,36,1,2,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Artemether Sublingual Spray,AltName A,Drug,Malaria,Malaria,Phase 3,2012-09-01,"Sex: ALL; Criteria: Inclusion Criteria:

1. The patient's legally acceptable representative has provided informed consent and the patient has assented (where relevant) to participation in the trial
2. The patient is a ch...",Yes,2013-03-28,FDA-21074,2.62,0.32,5,7.94,2015-04-15,2015-08-10,2020-08-10,99,Novartis,27,Kenya,43.83333333,73,7,8,77,84,14,45,1,2,2,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
artemether:lumefantrine (2.5 mg:30 mg),TradeName X,Drug,Malaria,Malaria,Phase 3,2024-05-10,"Sex: ALL; Criteria: Inclusion Criteria:

1. Male or female neonates/infants
2. Body weight \<5 kg but ³ 2 kg
3. In Cohort 1, infants aged \>28 days; in Cohort 2, neonates aged 1 to ²28 days (3 subgroups: 1-7 days; 8-14 d...",Yes,2025-01-01,FDA-79653,2.62,0.32,5,7.94,2026-12-22,2027-04-18,2032-04-18,98,J&J,70,Overall,48,10,8,66,89,35,80,55,1,2,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Chloroquine,Product Alpha,Drug,Malaria,Malaria,Phase 3,2010-11-15,"Sex: ALL; Age: >3 Years; Criteria: Inclusion Criteria:

1. Male or female patients between the age of 3 and 60 years, inclusive.
2. Body weight between 20 kg and 90 kg with no clinical evidence of severe malnutrition.
3. Presence of ac...",Yes,2011-01-30,FDA-52064,2.62,0.32,5,7.94,2013-06-28,2013-10-23,2018-10-24,39,Novartis,91,South Africa,47.66666667,48,47,8,85,33,65,64,1,3,3,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Pyronaridine - artesunate,Molecule Z,Drug,Malaria,Malaria,Phase 3,2010-11-15,"Sex: ALL; Age: >3 Years; Criteria: Inclusion Criteria:

1. Male or female patients between the age of 3 and 60 years, inclusive.
2. Body weight between 20 kg and 90 kg with no clinical evidence of severe malnutrition.
3. Presence of ac...",No,2011-11-10,FDA-89769,2.62,0.32,5,7.94,2013-06-28,2013-10-23,2018-10-24,5,J&J,48,Overall,67.5,78,93,40,68,82,44,45,1,2,2,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Tafenoquine,Molecule Z,Drug,Malaria,Malaria,Phase 3,2019-08-19,"Sex: MALE; Age: >18 Years; Criteria: Inclusion Criteria:

* Male subjects \>=18 years at the time of signing the informed consent.
* The subject has a positive Giemsa smear for P. vivax (mixed infection with P.falciparum is acceptable).
...",No,2020-05-26,FDA-85614,2.62,0.32,5,7.94,2022-04-01,2022-07-27,2027-07-28,40,J&J,95,Senegal,47,74,40,84,51,19,14,55,1,4,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Dihydroartemisinin-piperaquine (DHA-PQP),Comp Beta,Drug,Malaria,Malaria,Phase 3,2019-08-19,"Sex: MALE; Age: >18 Years; Criteria: Inclusion Criteria:

* Male subjects \>=18 years at the time of signing the informed consent.
* The subject has a positive Giemsa smear for P. vivax (mixed infection with P.falciparum is acceptable).
...",No,2019-10-26,FDA-85373,2.62,0.32,5,7.94,2022-04-01,2022-07-27,2027-07-28,0,GSK,46,South Africa,32.16666667,29,36,39,26,56,7,27,0,1,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Matched-Placebo for Primaquine,Comp Beta,Drug,Malaria,Malaria,Phase 3,2019-08-19,"Sex: MALE; Age: >18 Years; Criteria: Inclusion Criteria:

* Male subjects \>=18 years at the time of signing the informed consent.
* The subject has a positive Giemsa smear for P. vivax (mixed infection with P.falciparum is acceptable).
...",No,2020-01-06,FDA-75781,2.62,0.32,5,7.94,2022-04-01,2022-07-27,2027-07-28,40,Gilead,16,Kenya,54.33333333,70,94,77,2,26,57,64,1,3,3,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
TACT,AltName B,Drug,Malaria,Malaria,Phase 3,2020-03-04,"Sex: ALL; Age: >2 Years; Criteria: Inclusion Criteria:

* Male or female, aged from 2 years to 65 years old
* Acute uncomplicated P. falciparum malaria, confirmed by positive blood smear with asexual forms of P. falciparum (or mixed wi...",Yes,2020-07-06,FDA-73630,2.62,0.32,5,7.94,2022-10-16,2023-02-10,2028-02-11,67,Gilead,80,Kenya,69.16666667,89,89,28,76,78,55,55,1,2,3,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
Lopinavir/Ritonavir (LPV/r),GenName Y,Drug,Malaria,Malaria,Phase 3,2013-01-01,"Sex: ALL; Age: >2 Months; Criteria: Inclusion criteria:

1. Age 2 months to \< 11 years
2. Confirmed HIV diagnosis. i. Children \> 18 months: Documentation of HIV status must come from two assays. Assays include DNA PCR, HIV RNA, Wester...",Yes,2013-09-19,FDA-37044,2.62,0.32,5,7.94,2015-08-15,2015-12-10,2020-12-10,51,Sanofi,98,Senegal,56.66666667,57,94,66,11,55,57,45,1,3,1,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
Nevirapine (NVP),Comp Beta,Drug,Malaria,Malaria,Phase 3,2013-01-01,"Sex: ALL; Age: >2 Months; Criteria: Inclusion criteria:

1. Age 2 months to \< 11 years
2. Confirmed HIV diagnosis. i. Children \> 18 months: Documentation of HIV status must come from two assays. Assays include DNA PCR, HIV RNA, Wester...",Yes,2013-12-10,FDA-73160,2.62,0.32,5,7.94,2015-08-15,2015-12-10,2020-12-10,43,J&J,56,Senegal,55.5,55,92,39,2,95,50,36,1,3,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Efavirenz (EFV),AltName B,Drug,Malaria,Malaria,Phase 3,2013-01-01,"Sex: ALL; Age: >2 Months; Criteria: Inclusion criteria:

1. Age 2 months to \< 11 years
2. Confirmed HIV diagnosis. i. Children \> 18 months: Documentation of HIV status must come from two assays. Assays include DNA PCR, HIV RNA, Wester...",No,2013-09-20,FDA-82006,2.62,0.32,5,7.94,2015-08-15,2015-12-10,2020-12-10,40,Merck,70,Overall,49.5,11,80,13,30,69,94,55,1,3,2,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
2 nucleoside reverse transcriptase inhibitor (NRTI),GenName Y,Drug,Malaria,Malaria,Phase 3,2013-01-01,"Sex: ALL; Age: >2 Months; Criteria: Inclusion criteria:

1. Age 2 months to \< 11 years
2. Confirmed HIV diagnosis. i. Children \> 18 months: Documentation of HIV status must come from two assays. Assays include DNA PCR, HIV RNA, Wester...",No,2013-03-25,FDA-96524,2.62,0.32,5,7.94,2015-08-15,2015-12-10,2020-12-10,89,Novartis,17,Senegal,68,54,100,80,75,57,42,64,2,3,2,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
Ivermectin,Product Alpha,Drug,Malaria,Malaria,Phase 3,2015-12-01,"Sex: ALL; Criteria: Inclusion Criteria:

* Residence in the study site
* Able to understand the information and willing to give consent and assent (parent or guardian consent if study participant age is \< 18 years)

Exc...",Yes,2016-05-06,FDA-19311,2.62,0.32,5,7.94,2018-07-14,2018-11-08,2023-11-09,57,Bayer,6,Kenya,42.83333333,25,43,88,4,2,95,45,0,3,2,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
