Databases  ,Database category,Database scope,Geographic  coverage,Diseases ,Manual Extraction progress
Africa’s PACTR,National Clinical Trial Registries,National clinical trial registry,Africa,All diseases,Not started
Brazil’s ReBEC,National Clinical Trial Registries,National clinical trial registry,Brazil,All diseases,Not started
Japan’s jRCT,Disease-Specific Database,National clinical trial registry,Japan,All diseases,In-progress
SAHPRA,Regulatory,,,,Not started
SD Biosensor,Manufacturer/Developer,In-vitro diagnostics manufacturer product portfolio and related company information,Global markets with strong presence in Asia and many low- and middle-income countries,"Multiple conditions including HIV, malaria, COVID-19, diabetes and other diseases",
Walvax ,Manufacturer/Developer,Vaccine manufacturer with licensed and pipeline vaccines,"China with growing international reach, including WHO prequalification pathways","Vaccine-preventable diseases including pneumococcal disease, HPV, COVID-19 and others",
Zhifei Biological ,Manufacturer/Developer,Vaccine company producing and distributing a range of human vaccines,China with collaborations for global markets,"Vaccine-preventable diseases (e.g. meningococcal disease, shingles through partnerships, others)",
GSK pipeline,Manufacturer/Developer,,,,Not started
Pfizer pipeline,Manufacturer/Developer,,,,Not started
Merck pipeline,Manufacturer/Developer,,,,Not started
Janssen R&D pipeline,Procurement & Supply Chain,,,,Not started
